      i          x1i          x2i          x3i          x1i+1        x2i+1        x3i+1        Err1        Err2        Err3        Time  
  1.000000     1.000000     2.000000     1.000000     0.000000     1.000000    -0.333333     0.000000     0.000000     0.000000     0.342981   
  2.000000     0.000000     1.000000    -0.333333     2.333333     2.166667     0.666667     2.333333     1.166667     1.000000     0.783256   
  3.000000     2.333333     2.166667     0.666667     0.166667     0.500000    -0.888889     2.166667     1.666667     1.555556     0.467771   
  4.000000     0.166667     0.500000    -0.888889     3.388889     2.361111     0.944444     3.222222     1.861111     1.833333     0.508377   
  5.000000     3.388889     2.361111     0.944444    -0.305556    -0.166667    -1.370370     3.694444     2.527778     2.314815     0.545824   
  6.000000    -0.305556    -0.166667    -1.370370     4.537037     2.837963     1.546296     4.842593     3.004630     2.916667     0.473673   
  7.000000     4.537037     2.837963     1.546296    -1.384259    -1.041667    -2.070988     5.921296     3.879630     3.617284     0.570096   
  8.000000    -1.384259    -1.041667    -2.070988     6.112654     3.727623     2.489198     7.496914     4.769290     4.560185     0.510951   
  9.000000     6.112654     3.727623     2.489198    -3.216821    -2.300926    -3.189300     9.329475     6.028549     5.678498     0.460306   
 10.000000    -3.216821    -2.300926    -3.189300     8.490226     5.203061     3.939558    11.707047     7.503987     7.128858     0.492720   
 11.000000     8.490226     5.203061     3.939558    -6.142618    -4.214892    -4.965449    14.632845     9.417953     8.905007     0.501533   
 12.000000    -6.142618    -4.214892    -4.965449    12.180341     7.554034     6.190801    18.322960    11.768926    11.156250     0.638732   
 13.000000    12.180341     7.554034     6.190801   -10.744835    -7.185571    -7.762803    22.925176    14.739605    13.953604     0.563231   
 14.000000   -10.744835    -7.185571    -7.762803    17.948374    11.253819     9.705326    28.693208    18.439390    17.468128     0.509232   
 15.000000    17.948374    11.253819     9.705326   -17.959144   -11.826850   -12.152004    35.907518    23.080668    21.857329     0.579003   
 16.000000   -17.959144   -11.826850   -12.152004    26.978853    17.055574    15.204281    44.937998    28.882424    27.356285     0.507089   
 17.000000    26.978853    17.055574    15.204281   -29.259855   -19.091567   -19.030001    56.238709    36.147141    34.234282     0.481172   
 18.000000   -29.259855   -19.091567   -19.030001    41.121568    26.144928    23.814330    70.381423    45.236495    42.844330     0.526992   
 19.000000    41.121568    26.144928    23.814330   -46.959258   -30.467949   -29.803808    88.080826    56.612877    53.618138     0.445234   
 20.000000   -46.959258   -30.467949   -29.803808    63.271757    40.381533    37.298385   110.231015    70.849482    67.102193     0.527626   
